stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
1587,1587,"KING / WESTMINSTER",,  43.395617, -80.358067,,,0,
1588,1588,"KING / LOWTHER",,  43.394179, -80.355292,,,0,
1589,1589,"KING / DOLPH",,  43.392959, -80.352959,,,0,
1590,1590,"Sportsworld Crossing",,  43.409699, -80.392846,,,0,place_SPW
1591,1591,"KING / BISHOP",,  43.389789, -80.346621,,,0,
1592,1592,"KING / BROWER",,  43.388732, -80.344447,,,0,
1593,1593,"KING / BLUE HERON",,  43.387685, -80.342347,,,0,
1594,1594,"CORONATION / ORIOLE",,  43.385668, -80.339283,,,0,
1595,1595,"CORONATION / BLUE HERON",,  43.383615, -80.336132,,,0,
1596,1596,"GALT COUNTRY CLUB",,  43.380659, -80.331140,,,0,
1597,1597,"CAMBRIDGE MEMORIAL HOSPITAL",,  43.378432, -80.327424,,,0,
1598,1598,"CORONATION / ISLANDVIEW",,  43.376903, -80.324812,,,0,
1599,1599,"CORONATION / WRIGHT",,  43.374757, -80.321157,,,0,
1600,1600,"DUNDAS / WATER",,  43.372950, -80.318089,,,0,
1601,1601,"DUNDAS / HOPETON",,  43.370454, -80.313935,,,0,
1602,1602,"DUNDAS / CAMBRIDGE",,  43.367389, -80.308860,,,0,
1603,1603,"DUNDAS / BEVERLY",,  43.365897, -80.306272,,,0,
1604,1604,"BEVERLY / KERR",,  43.362959, -80.308861,,,0,
1605,1605,"WELLINGTON / MAIN",,  43.359238, -80.311420,,,0,
1606,1606,"BEVERLY / KERR",,  43.361982, -80.309624,,,0,
1607,1607,"BEVERLY / MILL CREEK TRAIL",,  43.364597, -80.307200,,,0,
1608,1608,"DUNDAS / GRANTHAM",,  43.366259, -80.306515,,,0,
1609,1609,"DUNDAS / CAMBRIDGE",,  43.367542, -80.308734,,,0,
1610,1610,"DUNDAS / ROXBORO",,  43.370590, -80.313946,,,0,
1611,1611,"DUNDAS / JARVIS",,  43.372235, -80.316618,,,0,
1612,1612,"CORONATION / HESPELER",,  43.373802, -80.319085,,,0,
1613,1613,"CORONATION / GOLDIE",,  43.375527, -80.321988,,,0,
1614,1614,"CORONATION / OLIVER",,  43.378146, -80.326403,,,0,
1615,1615,"CAMBRIDGE MEMORIAL HOSPITAL",,  43.379683, -80.328904,,,0,
1616,1616,"725 CORONATION",,  43.381020, -80.331173,,,0,
1617,1617,"CORONATION / HIGHLAND",,  43.382484, -80.333712,,,0,
1618,1618,"CORONATION / BLUE HERON",,  43.383857, -80.335981,,,0,
1619,1619,"CORONATION / ORIOLE",,  43.385792, -80.338899,,,0,
1620,1620,"King / Concession",,  43.387911, -80.342518,,,0,
1621,1621,"KING / BROWER",,  43.388776, -80.344225,,,0,
1622,1622,"KING / BISHOP",,  43.389969, -80.346607,,,0,
1623,1623,"KING / MONTROSE",,  43.391736, -80.350132,,,0,
1624,1624,"KING / DOLPH",,  43.393175, -80.352919,,,0,
1625,1625,"KING / LOWTHER",,  43.394623, -80.355781,,,0,
1626,1626,"KING / WATERLOO",,  43.397454, -80.361246,,,0,
1627,1627,"KING / CHOPIN",,  43.399064, -80.364292,,,0,
1628,1628,"KING / FOUNTAIN",,  43.399950, -80.368012,,,0,
1629,1629,"FOUNTAIN / BAUMAN",,  43.396141, -80.372966,,,0,
1630,1630,"PRESTON / FOUNTAIN",,  43.390986, -80.375501,,,0,
1631,1631,"PRESTON / WOODS",,  43.392149, -80.377391,,,0,
1632,1632,"PRESTON / HILLVIEW",,  43.394663, -80.377661,,,0,
1633,1633,"PRESTON / PARKVIEW",,  43.397276, -80.377943,,,0,
1634,1634,"PRESTON / LINDEN",,  43.399220, -80.376182,,,0,
