block_id,route_id,trip_headsign,service_id,shape_id,trip_id
b_5135,51,Hespeler Road to Hespeler,a_merged_998605,5101,582362
b_701,7,E UW via Columbia,a_merged_998605,706,583590
b_705,7,E UW via Columbia,a_merged_998605,706,583591
b_708,7,C Conestoga Mall,a_merged_998605,701,583596
b_711,7,C Conestoga Mall,a_merged_998605,701,583597
b_709,7,C Conestoga Mall,a_merged_998605,701,583594
b_5136,51,Hespeler Road to Hespeler,a_merged_998605,5101,582363
b_2032,6,Downtown,a_merged_998605,601,581365
b_712,7,C Conestoga Mall,a_merged_998605,701,583598
b_701,7,C Conestoga Mall,a_merged_998605,701,583599
b_5136,51,Hespeler Road to Hespeler,a_merged_998605,5101,582360
b_5631,64,Langs,a_merged_998605,6401,582494
b_5134,51,Hespeler Road to Hespeler,a_merged_998605,5101,582361
a_1031,17,Heritage Park,muwtf_merged_998604,1700,545538
b_5136,51,Hespeler Road to Hespeler,a_merged_998605,5101,582366
a_1032,17,Heritage Park,muwtf_merged_998604,1700,545539
b_5134,51,Hespeler Road to Hespeler,a_merged_998605,5101,582367
b_8002,200,iXpress to Ainslie Terminal,muwtf_merged_998607,20011,564267
a_5133,51,Hespeler Road to Hespeler,muwtf_merged_998604,5101,545824
b_8022,200,iXpress to Ainslie Terminal,muwtf_merged_998607,20011,564265
b_8031,200,iXpress to Ainslie Terminal,muwtf_merged_998607,20011,564264
b_8021,200,iXpress to Ainslie Terminal,muwtf_merged_998607,20011,564263
b_5134,51,Hespeler Road to Hespeler,a_merged_998605,5101,582364
b_8003,200,iXpress to Ainslie Terminal,muwtf_merged_998607,20011,564261
a_701,7,E UW via Columbia,a_merged_998602,706,551486
b_5135,51,Hespeler Road to Hespeler,a_merged_998605,5101,582365
a_702,7,C Conestoga Mall,a_merged_998602,707,551485
b_8007,200,iXpress to Ainslie Terminal,muwtf_merged_998607,20011,564269
b_5633,64,Langs,a_merged_998605,6401,582495
b_632,6,Downtown,muwtf_merged_998607,601,555849
a_5133,51,Hespeler Road to Hespeler,muwtf_merged_998604,5101,545827
b_5133,65,Fisher Mills,a_merged_998605,6501,583368
b_631,6,Downtown,muwtf_merged_998607,601,555843
a_5132,51,Hespeler Road to Hespeler,muwtf_merged_998604,5101,545820
b_1133,6,Downtown,muwtf_merged_998607,601,555841
b_1132,6,Downtown,muwtf_merged_998607,601,555840
b_1131,6,Downtown,muwtf_merged_998607,601,555847
a_5432,58,Elmwood,muwtf_merged_998604,5800,548249
b_1132,6,Downtown,muwtf_merged_998607,601,555845
a_712,7,C Conestoga Mall,a_merged_998602,707,551482
a_5433,58,Elmwood,muwtf_merged_998604,5800,548248
a_5131,51,Hespeler Road to Hespeler,muwtf_merged_998604,5101,545822
a_5136,51,Hespeler Road to Ainslie Terminal,muwtf_merged_998604,5111,545797
a_5132,51,Hespeler Road to Hespeler,muwtf_merged_998604,5101,545823
b_5632,64,Langs,a_merged_998605,6401,582496
a_5135,71,Tri-City Centre via Winston,muwtf_merged_998604,7112,548538
b_1032,16,Forest Glen via Biehn,muwtf_merged_998607,1612,567554
a_5531,63,Champlain,muwtf_merged_998604,6300,544809
b_1032,16,Forest Glen via Biehn,muwtf_merged_998607,1612,567556
b_1033,16,Forest Glen via Biehn,muwtf_merged_998607,1612,567557
b_1032,16,Conestoga College,muwtf_merged_998607,1601,567550
b_1131,11,Downtown Sunday,s_merged_998606,1112,584775
b_1033,16,Forest Glen via Biehn,muwtf_merged_998607,1612,567552
a_801,8,Charles St. via Weber,s_merged_998603,817,552667
b_1035,16,Forest Glen via Biehn,muwtf_merged_998607,1612,567558
b_1033,16,Forest Glen via Biehn,muwtf_merged_998607,1612,567559
b_8001,200,iXpress to Conestoga Mall,muwtf_merged_998607,20001,564191
a_754,7,C Conestoga Mall,muwtf_merged_998604,701,545323
b_8026,200,iXpress to Conestoga Mall,muwtf_merged_998607,20001,564193
b_8008,200,iXpress to Conestoga Mall,muwtf_merged_998607,20001,564192
b_8004,200,iXpress to Conestoga Mall,muwtf_merged_998607,20001,564195
b_8027,200,iXpress to Conestoga Mall,muwtf_merged_998607,20001,564194
b_8028,200,iXpress to Conestoga Mall,muwtf_merged_998607,20001,564197
a_731,7,C Conestoga Mall,muwtf_merged_998604,707,545322
b_8006,200,iXpress to Conestoga Mall,muwtf_merged_998607,20001,564199
b_8021,200,iXpress to Conestoga Mall,muwtf_merged_998607,20001,564198
b_5631,64,Langs,a_merged_998605,6401,582497
a_5135,71,Tri-City Centre via Franklin,muwtf_merged_998604,7111,548537
b_8002,200,iXpress to Conestoga Mall,a_merged_998605,20001,583336
b_8001,200,iXpress to Conestoga Mall,a_merged_998605,20001,583337
b_8025,200,iXpress to Conestoga Mall,a_merged_998605,20001,583334
a_714,7,B Fairview Park via Weber,muwtf_merged_998604,712,545320
b_8004,200,iXpress to Conestoga Mall,a_merged_998605,20001,583332
b_711,7,F Fairview Park via Wilson,a_merged_998605,718,583735
b_8025,200,iXpress to Conestoga Mall,a_merged_998605,20001,583330
b_8024,200,iXpress to Conestoga Mall,a_merged_998605,20001,583331
a_5135,71,Tri-City Centre via Franklin,muwtf_merged_998604,7111,548531
b_8021,200,iXpress to Conestoga Mall,a_merged_998605,20001,583338
a_5136,71,Tri-City Centre via Franklin,muwtf_merged_998604,7111,548530
b_631,6,Downtown,a_merged_998605,601,581361
a_5136,71,Tri-City Centre via Franklin,muwtf_merged_998604,7111,548533
a_5134,71,Tri-City Centre via Franklin,muwtf_merged_998604,7111,548532
a_5533,55,St. Andrews,muwtf_merged_998604,5500,547013
a_1181,9985,MGW to CST,muwtf_merged_998604,998501,547012
a_937,9903,Rt 9,muwtf_merged_998604,990301,547011
a_1981,9971,SMH-Courtland,muwtf_merged_998604,997102,547010
a_5532,55,St. Andrews,muwtf_merged_998604,5500,547017
a_5533,55,St. Andrews,muwtf_merged_998604,5500,547016
a_5533,55,St. Andrews,muwtf_merged_998604,5500,547015
a_5533,55,St. Andrews,muwtf_merged_998604,5500,547014
a_5531,55,St. Andrews,muwtf_merged_998604,5500,547019
a_5532,55,St. Andrews,muwtf_merged_998604,5500,547018
b_2032,6,Downtown,a_merged_998605,601,581360
a_5131,51,Hespeler Road to Ainslie Terminal,s_merged_998603,5111,552966
a_5533,63,Champlain,muwtf_merged_998604,6300,544807
a_5531,63,Champlain,muwtf_merged_998604,6300,544806
b_5203,52,Ainslie Terminal via Preston Pkwy,muwtf_merged_998607,5211,564086
a_9972,9972,SMH-Biehn,muwtf_merged_998604,997202,545684
b_5331,53,Ainslie St. Terminal,a_merged_998605,5311,582889
b_5332,53,Ainslie St. Terminal,a_merged_998605,5311,582888
b_5331,53,Hespeler Terminal,a_merged_998605,5301,582883
b_5332,53,Hespeler Terminal,a_merged_998605,5301,582882
b_5333,53,Hespeler Terminal,a_merged_998605,5301,582881
b_5331,53,Hespeler Terminal,a_merged_998605,5301,582880
b_5333,53,Ainslie St. Terminal,a_merged_998605,5311,582887
b_5331,53,Ainslie St. Terminal,a_merged_998605,5311,582886
b_5332,53,Ainslie St. Terminal,a_merged_998605,5311,582885
b_5333,53,Ainslie St. Terminal,a_merged_998605,5311,582884
b_1131,11,Downtown Sunday,s_merged_998606,1112,584771
b_631,6,Downtown,a_merged_998605,601,581371
b_2532,25,Queen South to Downtown via Westheights,muwtf_merged_998607,2512,557395
b_2532,25,Queen South to Downtown via Westheights,muwtf_merged_998607,2512,557394
b_2532,25,Queen South to Downtown via Westheights,muwtf_merged_998607,2512,557397
b_5333,66,Winston,a_merged_998605,6601,583428
b_2532,25,Queen South to Downtown,muwtf_merged_998607,2511,557391
b_2531,25,Queen South to Downtown,muwtf_merged_998607,2511,557390
b_2532,25,Queen South to Downtown via Westheights,muwtf_merged_998607,2512,557393
b_2401,24,Highland,a_merged_998605,2401,581849
b_2531,25,Queen South to Downtown,muwtf_merged_998607,2511,557392
b_1232,12,To Conestoga Mall,s_merged_998606,1201,585275
b_1231,12,To Conestoga Mall,s_merged_998606,1201,585274
b_1236,12,To Conestoga Mall,s_merged_998606,1201,585277
b_1235,12,To Conestoga Mall,s_merged_998606,1201,585276
b_1236,12,To Conestoga Mall,s_merged_998606,1201,585271
b_1234,12,To Conestoga Mall,s_merged_998606,1201,585270
b_1235,12,To Conestoga Mall,s_merged_998606,1201,585273
b_1232,12,To Conestoga Mall,s_merged_998606,1201,585272
b_1234,12,To Conestoga Mall,s_merged_998606,1201,585279
b_1283,12,To Conestoga Mall,s_merged_998606,1201,585278
a_731,7,D UW via University,muwtf_merged_998604,702,545150
a_752,7,D UW via University,muwtf_merged_998604,702,545151
a_708,7,D UW via University,muwtf_merged_998604,702,545152
a_715,7,D UW via University,muwtf_merged_998604,702,545153
a_714,7,D UW via University,muwtf_merged_998604,702,545154
a_712,7,D UW via University,muwtf_merged_998604,702,545155
a_759,7,D UW via University,muwtf_merged_998604,702,545156
a_731,7,D UW via University,muwtf_merged_998604,702,545157
a_752,7,D UW via University,muwtf_merged_998604,702,545158
a_708,7,D UW via University,muwtf_merged_998604,702,545159
b_2431,25,Queen South to Downtown,muwtf_merged_998607,2511,557398
b_705,7,D UW via University,s_merged_998606,702,584885
b_738,7,D UW via University,s_merged_998606,702,584884
b_712,7,D UW via University,a_merged_998605,708,583545
b_133,25,Queen South,muwtf_merged_998607,2501,557313
b_737,7,D UW via University,s_merged_998606,702,584887
b_5131,51,Hespeler Road to Ainslie Terminal,a_merged_998605,5111,582284
b_733,7,D UW via University,s_merged_998606,702,584886
b_5131,51,Hespeler Road to Ainslie Terminal,a_merged_998605,5111,582287
b_1081,10,Fairview Park via Becthel,s_merged_998606,1012,584881
b_5132,51,Hespeler Road to Ainslie Terminal,a_merged_998605,5111,582286
b_1281,10,Fairview Park via Becthel,s_merged_998606,1012,584880
b_5132,51,Hespeler Road to Ainslie Terminal,a_merged_998605,5111,582289
a_1383,9,Lakeshore to UW,muwtf_merged_998604,901,546838
a_933,9,Lakeshore to UW,muwtf_merged_998604,901,546839
b_1133,11,Downtown,muwtf_merged_998607,1111,561646
b_1131,11,Downtown,muwtf_merged_998607,1111,561647
b_5133,51,Hespeler Road to Ainslie Terminal,a_merged_998605,5111,582288
a_932,9,Lakeshore to UW,muwtf_merged_998604,901,546832
a_934,9,Lakeshore to UW,muwtf_merged_998604,901,546833
a_939,9,Lakeshore to UW,muwtf_merged_998604,901,546830
a_940,9,Lakeshore to UW,muwtf_merged_998604,901,546831
a_939,9,Lakeshore to UW,muwtf_merged_998604,901,546836
a_1382,9,Lakeshore to UW,muwtf_merged_998604,901,546837
a_931,9,Lakeshore to UW,muwtf_merged_998604,901,546834
a_933,9,Lakeshore to UW,muwtf_merged_998604,901,546835
b_707,7,B Fairview Park via Weber,a_merged_998605,713,583673
b_1236,27,Fairview Park,a_merged_998605,2711,582590
b_1132,6,Downtown,a_merged_998605,601,581369
b_708,7,A Fairview Park via Connaught,a_merged_998605,715,583672
b_2232,22,Laurentian West to Highland Hills,muwtf_merged_998607,2202,558468
b_1242,35,Eastbridge to Uptown Waterloo,muwtf_merged_998607,3501,558092
a_5331,66,Tri-City Centre,a_merged_998602,6611,551380
a_5333,66,Tri-City Centre,a_merged_998602,6611,551381
a_5332,66,Tri-City Centre,a_merged_998602,6611,551382
a_5331,66,Tri-City Centre,a_merged_998602,6611,551383
a_5333,66,Tri-City Centre,a_merged_998602,6611,551384
a_5332,66,Tri-City Centre,a_merged_998602,6611,551385
a_5331,66,Tri-City Centre,a_merged_998602,6611,551386
a_5333,66,Tri-City Centre,a_merged_998602,6611,551387
a_5332,66,Tri-City Centre,a_merged_998602,6611,551388
a_5331,66,Tri-City Centre,a_merged_998602,6611,551389
a_5136,71,Tri-City Centre via Franklin,a_merged_998602,7111,551434
a_5134,71,Tri-City Centre via Franklin,a_merged_998602,7111,551435
a_5134,71,Tri-City Centre via Franklin,a_merged_998602,7111,551432
a_5135,71,Tri-City Centre via Franklin,a_merged_998602,7111,551433
a_5135,71,Tri-City Centre via Franklin,a_merged_998602,7111,551430
a_5136,71,Tri-City Centre via Franklin,a_merged_998602,7111,551431
b_2235,22,Laurentian West to Highland Hills,muwtf_merged_998607,2202,558469
b_434,29,To King/University turnaround,muwtf_merged_998607,2901,558718
b_432,29,To King/University turnaround,muwtf_merged_998607,2901,558719
b_434,29,To King/University turnaround,muwtf_merged_998607,2901,558714
b_2236,29,To King/University turnaround,muwtf_merged_998607,2901,558715
b_433,29,To King/University turnaround,muwtf_merged_998607,2901,558716
b_431,29,To The Boardwalk,muwtf_merged_998607,2911,558717
b_434,29,To King/University turnaround,muwtf_merged_998607,2901,558710
b_2234,29,To King/University turnaround,muwtf_merged_998607,2901,558711
b_434,29,To King/University turnaround,muwtf_merged_998607,2901,558712
b_2281,29,To King/University turnaround,muwtf_merged_998607,2901,558713
a_1237,27,Fairview Park,a_merged_998602,2711,550529
a_1234,27,Fairview Park,a_merged_998602,2711,550528
a_1234,27,Chicopee,a_merged_998602,2701,550523
a_1232,27,Fairview Park,a_merged_998602,2711,550522
a_1236,27,Fairview Park,a_merged_998602,2711,550521
a_1235,27,Fairview Park,a_merged_998602,2711,550520
a_1235,27,Fairview Park,a_merged_998602,2711,550527
a_1281,27,Chicopee,a_merged_998602,2701,550526
a_1237,27,Chicopee,a_merged_998602,2701,550525
a_1235,27,Chicopee,a_merged_998602,2701,550524
b_1242,35,Eastbridge to Uptown Waterloo,muwtf_merged_998607,3501,558090
b_704,7,F Fairview Park via Wilson,a_merged_998605,717,583651
b_802,8,Fairview via Weber/Courtland TR,s_merged_998606,811,584698
a_709,7,F Fairview Park via Wilson,a_merged_998602,718,551658
a_705,7,F Fairview Park via Wilson,a_merged_998602,718,551659
b_1032,10,Fairview Park,muwtf_merged_998607,1011,567959
a_733,7,F Fairview Park via Wilson,a_merged_998602,718,551652
a_708,7,F Fairview Park via Wilson,a_merged_998602,718,551653
a_710,7,F Fairview Park via Wilson,a_merged_998602,718,551650
a_702,7,F Fairview Park via Wilson,a_merged_998602,718,551651
a_701,7,F Fairview Park via Wilson,a_merged_998602,718,551656
a_704,7,F Fairview Park via Wilson,a_merged_998602,718,551657
a_711,7,F Fairview Park via Wilson,a_merged_998602,718,551654
a_712,7,F Fairview Park via Wilson,a_merged_998602,718,551655
b_2232,22,Laurentian West to Downtown,muwtf_merged_998607,2212,558509
b_133,1,Stanley Park via Becker/Lorraine,muwtf_merged_998607,104,565810
b_2231,22,Laurentian West to Downtown,muwtf_merged_998607,2212,558508
a_5331,53,Hespeler Terminal,muwtf_merged_998604,5301,544786
a_5531,63,Champlain,muwtf_merged_998604,6300,544787
a_5281,53,Hespeler Terminal,muwtf_merged_998604,5301,544784
a_5334,53,Hespeler Terminal,muwtf_merged_998604,5301,544785
